trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	M13b	circle	4	0.77	-1	0 	 2.629529121564853 	 2 	 3.0	-999.0	2.0	2	-1	1	-1	-999	-999	-1.0	1.7674 	2.8073 	-999	-999	2.4258 	3.245 	-999	-999	1.8829 	3.3574 	-999	-999	71
1	M13b	circle	4	0.61	1	3 	 2.8399822694296235 	 3 	 1.0	3.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.604 	3.339 	-999	-999	1.8438 	3.2569 	-999	-999	2.1402 	2.8787 	3.577 	-999	78
2	M13b	circle	8	0.42	1	3 	 2.755836054274697 	 3 	 1.0	2.0	0.0	1	1	-1	-1	-999	0.0	-999	2.5049 	3.5136 	-999	-999	2.2123 	3.1263 	-999	-999	1.8302 	2.3445 	3.0878 	-999	148
3	M13b	circle	8	0.45	-1	0 	 2.583418452000033 	 2 	 -999.0	0.0	7.0	1	-1	1	-1	-999	1.0	-999	2.4664 	3.1053 	-999	-999	1.9941 	3.1888 	-999	-999	1.8244 	2.7436 	-999	-999	136
4	M13b	circle	4	0.47	-1	3 	 2.3908493658751304 	 3 	 0.0	0.0	0.0	2	-1	1	-1	-999	-999	0.0	2.5154 	-999	-999	-999	2.0902 	3.1705 	-999	-999	1.8424 	2.9587 	-999	-999	65
5	M13b	circle	8	0.13	-1	0 	 2.709801452397329 	 3 	 4.0	2.0	2.0	2	-1	1	-1	-999	-999	1.0	2.0675 	2.6434 	4.0422 	-999	2.6174 	3.6357 	-999	-999	2.0543 	2.7581 	3.2809 	-999	145
6	M13b	circle	8	0.13	1	3 	 2.5087120268486816 	 3 	 0.0	2.0	7.0	0	1	-1	-1	-0.0	-999	-999	2.4498 	2.9513 	-999	-999	2.6409 	-999	-999	-999	2.5628 	3.071 	-999	-999	134
7	M13b	circle	8	0.42	-1	3 	 2.325926159121086 	 3 	 0.0	5.0	6.0	1	-1	1	-1	-999	0.0	-999	1.935 	2.6119 	-999	-999	2.4905 	-999	-999	-999	2.6907 	-999	-999	-999	123
8	M13b	circle	4	0.19	1	0 	 2.675799850321529 	 3 	 0.0	1.0	1.0	0	1	-1	-1	1.0	-999	-999	2.4163 	2.9934 	-999	-999	2.2957 	3.1534 	-999	-999	1.8992 	2.9295 	-999	-999	73
9	M13b	circle	8	0.32	1	0 	 2.7762939839242007 	 3 	 4.0	4.0	4.0	2	1	-1	-1	-999	-999	1.0	2.4089 	3.1829 	-999	-999	2.6314 	3.4465 	-999	-999	1.7245 	2.7213 	3.4639 	-999	148
10	M13b	circle	8	0.51	-1	0 	 2.484261230209118 	 3 	 6.0	5.0	2.0	2	-1	1	-1	-999	-999	2.0	1.9229 	2.8209 	-999	-999	2.6473 	-999	-999	-999	1.8038 	2.6386 	-999	-999	132
11	M13b	circle	8	0.22	-1	3 	 2.505376709222498 	 3 	 0.0	5.0	5.0	0	-1	1	-1	0.0	-999	-999	1.9348 	2.7584 	-999	-999	2.0808 	2.7312 	-999	-999	2.1975 	3.608 	-999	-999	134
12	M13b	circle	4	0.48	1	3 	 2.405111705189407 	 2 	 -999.0	2.0	0.0	2	1	-1	-1	-999	-999	0.0	1.8525 	3.0112 	-999	-999	1.7231 	3.201 	-999	-999	2.361 	3.3948 	-999	-999	65
13	M13b	circle	4	0.75	-1	3 	 2.5922511729183326 	 3 	 2.0	2.0	2.0	0	-1	1	-1	0.0	-999	-999	2.5579 	3.2438 	-999	-999	1.7803 	2.4853 	3.4297 	-999	2.0839 	3.2922 	-999	-999	69
14	M13b	circle	4	0.62	1	3 	 2.344303813184369 	 2 	 3.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	1.8227 	2.5618 	-999	-999	2.6743 	-999	-999	-999	1.8229 	2.4726 	-999	-999	64
15	M13b	circle	4	0.34	1	3 	 2.2353198377366486 	 2 	 3.0	-999.0	2.0	2	1	-1	-1	-999	-999	-0.0	1.8601 	2.7766 	-999	-999	2.4911 	-999	-999	-999	2.3559 	-999	-999	-999	62
16	M13b	circle	8	0.45	1	0 	 2.7927512910574652 	 2 	 7.0	0.0	5.0	2	1	-1	-1	-999	-999	1.0	2.1282 	2.8098 	3.7443 	-999	1.7344 	2.7695 	3.7485 	-999	2.2812 	3.1799 	-999	-999	149
17	M13b	circle	4	0.61	-1	0 	 2.726034532414914 	 3 	 1.0	2.0	0.0	0	-1	1	-1	2.0	-999	-999	2.6893 	3.464 	-999	-999	2.0644 	3.2486 	-999	-999	1.7583 	2.6495 	3.3742 	-999	73
18	M13b	circle	4	0.19	1	3 	 2.7384327421582455 	 2 	 2.0	3.0	-999.0	0	1	-1	-1	0.0	-999	-999	1.8939 	2.6889 	3.4664 	-999	2.6922 	3.4404 	-999	-999	1.9877 	3.4003 	-999	-999	74
19	M13b	circle	8	0.59	1	3 	 2.497430625364667 	 2 	 2.0	-999.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.1701 	3.5791 	-999	-999	1.9496 	2.5644 	3.1895 	-999	2.2048 	3.0844 	-999	-999	133
20	M13b	circle	8	0.72	-1	3 	 2.3681877998763867 	 2 	 0.0	-999.0	4.0	2	-1	1	-1	-999	-999	-0.0	2.0603 	2.9087 	-999	-999	2.2282 	3.3169 	-999	-999	2.3862 	2.9889 	-999	-999	126
21	M13b	circle	8	0.32	-1	0 	 2.6993372168364185 	 3 	 1.0	6.0	6.0	0	-1	1	-1	-1.0	-999	-999	2.0606 	2.8874 	-999	-999	2.232 	3.2062 	-999	-999	2.322 	2.8968 	-999	-999	144
22	M13b	circle	8	0.18	1	3 	 2.9166378687325287 	 2 	 3.0	-999.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.1577 	3.2649 	-999	-999	2.2117 	3.6148 	-999	-999	1.8144 	3.2532 	-999	-999	151
23	M13b	circle	8	0.51	1	0 	 2.995230283922382 	 3 	 4.0	0.0	3.0	0	1	-1	-1	2.0	-999	-999	2.6369 	3.4821 	-999	-999	2.5128 	3.9244 	-999	-999	2.699 	4.0357 	-999	-999	155
